fid,id,left,top,right,bottom
22,22,472246.113892158435192,1423041.728244151687250,474151.369780484179500,1421391.728244151920080
23,23,472246.113892158435192,1421391.728244151920080,474151.369780484179500,1419741.728244151687250
49,49,473675.055808402714320,1435416.728244151687250,475580.311696728516836,1433766.728244151687250
50,50,473675.055808402714320,1433766.728244151687250,475580.311696728516836,1432116.728244151687250
51,51,473675.055808402714320,1432116.728244151687250,475580.311696728516836,1430466.728244151687250
58,58,473675.055808402714320,1420566.728244151687250,475580.311696728516836,1418916.728244151687250
59,59,473675.055808402714320,1418916.728244151687250,475580.311696728516836,1417266.728244151687250
84,84,475103.997724647051655,1436241.728244151687250,477009.253612972854171,1434591.728244151920080
85,85,475103.997724647051655,1434591.728244151920080,477009.253612972854171,1432941.728244151687250
86,86,475103.997724647051655,1432941.728244151687250,477009.253612972854171,1431291.728244151687250
87,87,475103.997724647051655,1431291.728244151687250,477009.253612972854171,1429641.728244151687250
88,88,475103.997724647051655,1429641.728244151687250,477009.253612972854171,1427991.728244151920080
89,89,475103.997724647051655,1427991.728244151920080,477009.253612972854171,1426341.728244151687250
90,90,475103.997724647051655,1426341.728244151687250,477009.253612972854171,1424691.728244151687250
91,91,475103.997724647051655,1424691.728244151687250,477009.253612972854171,1423041.728244151687250
92,92,475103.997724647051655,1423041.728244151687250,477009.253612972854171,1421391.728244151920080
93,93,475103.997724647051655,1421391.728244151920080,477009.253612972854171,1419741.728244151687250
94,94,475103.997724647051655,1419741.728244151687250,477009.253612972854171,1418091.728244151687250
95,95,475103.997724647051655,1418091.728244151687250,477009.253612972854171,1416441.728244151687250
96,96,475103.997724647051655,1416441.728244151687250,477009.253612972854171,1414791.728244151920080
97,97,475103.997724647051655,1414791.728244151920080,477009.253612972854171,1413141.728244151687250
98,98,475103.997724647051655,1413141.728244151687250,477009.253612972854171,1411491.728244151687250
100,100,475103.997724647051655,1409841.728244151687250,477009.253612972854171,1408191.728244151920080
118,118,476532.939640891330782,1437066.728244151687250,478438.195529217133299,1435416.728244151687250
119,119,476532.939640891330782,1435416.728244151687250,478438.195529217133299,1433766.728244151687250
120,120,476532.939640891330782,1433766.728244151687250,478438.195529217133299,1432116.728244151687250
121,121,476532.939640891330782,1432116.728244151687250,478438.195529217133299,1430466.728244151687250
122,122,476532.939640891330782,1430466.728244151687250,478438.195529217133299,1428816.728244151687250
123,123,476532.939640891330782,1428816.728244151687250,478438.195529217133299,1427166.728244151687250
124,124,476532.939640891330782,1427166.728244151687250,478438.195529217133299,1425516.728244151687250
125,125,476532.939640891330782,1425516.728244151687250,478438.195529217133299,1423866.728244151687250
126,126,476532.939640891330782,1423866.728244151687250,478438.195529217133299,1422216.728244151687250
127,127,476532.939640891330782,1422216.728244151687250,478438.195529217133299,1420566.728244151687250
128,128,476532.939640891330782,1420566.728244151687250,478438.195529217133299,1418916.728244151687250
129,129,476532.939640891330782,1418916.728244151687250,478438.195529217133299,1417266.728244151687250
130,130,476532.939640891330782,1417266.728244151687250,478438.195529217133299,1415616.728244151687250
131,131,476532.939640891330782,1415616.728244151687250,478438.195529217133299,1413966.728244151687250
132,132,476532.939640891330782,1413966.728244151687250,478438.195529217133299,1412316.728244151687250
133,133,476532.939640891330782,1412316.728244151687250,478438.195529217133299,1410666.728244151687250
134,134,476532.939640891330782,1410666.728244151687250,478438.195529217133299,1409016.728244151687250
135,135,476532.939640891330782,1409016.728244151687250,478438.195529217133299,1407366.728244151687250
