id,X,Y
22,473198.7418,1422216.728
23,473198.7418,1420566.728
49,474627.6838,1434591.728
50,474627.6838,1432941.728
51,474627.6838,1431291.728
58,474627.6838,1419741.728
59,474627.6838,1418091.728
84,476056.6257,1435416.728
85,476056.6257,1433766.728
86,476056.6257,1432116.728
87,476056.6257,1430466.728
88,476056.6257,1428816.728
89,476056.6257,1427166.728
90,476056.6257,1425516.728
91,476056.6257,1423866.728
92,476056.6257,1422216.728
93,476056.6257,1420566.728
94,476056.6257,1418916.728
95,476056.6257,1417266.728
96,476056.6257,1415616.728
97,476056.6257,1413966.728
98,476056.6257,1412316.728
100,476056.6257,1409016.728
118,477485.5676,1436241.728
119,477485.5676,1434591.728
120,477485.5676,1432941.728
121,477485.5676,1431291.728
122,477485.5676,1429641.728
123,477485.5676,1427991.728
124,477485.5676,1426341.728
125,477485.5676,1424691.728
126,477485.5676,1423041.728
127,477485.5676,1421391.728
128,477485.5676,1419741.728
129,477485.5676,1418091.728
130,477485.5676,1416441.728
131,477485.5676,1414791.728
132,477485.5676,1413141.728
133,477485.5676,1411491.728
134,477485.5676,1409841.728
135,477485.5676,1408191.728
136,477485.5676,1406541.728
154,478914.5095,1435416.728
155,478914.5095,1433766.728
156,478914.5095,1432116.728
157,478914.5095,1430466.728
158,478914.5095,1428816.728
159,478914.5095,1427166.728
160,478914.5095,1425516.728
161,478914.5095,1423866.728
162,478914.5095,1422216.728
163,478914.5095,1420566.728
164,478914.5095,1418916.728
165,478914.5095,1417266.728
166,478914.5095,1415616.728
167,478914.5095,1413966.728
168,478914.5095,1412316.728
169,478914.5095,1410666.728
170,478914.5095,1409016.728
171,478914.5095,1407366.728
188,480343.4514,1436241.728
189,480343.4514,1434591.728
190,480343.4514,1432941.728
191,480343.4514,1431291.728
192,480343.4514,1429641.728
193,480343.4514,1427991.728
194,480343.4514,1426341.728
195,480343.4514,1424691.728
196,480343.4514,1423041.728
197,480343.4514,1421391.728
198,480343.4514,1419741.728
199,480343.4514,1418091.728
200,480343.4514,1416441.728
201,480343.4514,1414791.728
202,480343.4514,1413141.728
203,480343.4514,1411491.728
204,480343.4514,1409841.728
205,480343.4514,1408191.728
206,480343.4514,1406541.728
224,481772.3933,1435416.728
225,481772.3933,1433766.728
226,481772.3933,1432116.728
227,481772.3933,1430466.728
228,481772.3933,1428816.728
229,481772.3933,1427166.728
230,481772.3933,1425516.728
231,481772.3933,1423866.728
232,481772.3933,1422216.728
233,481772.3933,1420566.728
234,481772.3933,1418916.728
235,481772.3933,1417266.728
236,481772.3933,1415616.728
237,481772.3933,1413966.728
238,481772.3933,1412316.728
239,481772.3933,1410666.728
240,481772.3933,1409016.728
241,481772.3933,1407366.728
258,483201.3353,1436241.728
259,483201.3353,1434591.728
260,483201.3353,1432941.728
261,483201.3353,1431291.728
262,483201.3353,1429641.728
263,483201.3353,1427991.728
264,483201.3353,1426341.728
265,483201.3353,1424691.728
266,483201.3353,1423041.728
267,483201.3353,1421391.728
268,483201.3353,1419741.728
269,483201.3353,1418091.728
270,483201.3353,1416441.728
271,483201.3353,1414791.728
272,483201.3353,1413141.728
273,483201.3353,1411491.728
274,483201.3353,1409841.728
275,483201.3353,1408191.728
276,483201.3353,1406541.728
294,484630.2772,1435416.728
295,484630.2772,1433766.728
296,484630.2772,1432116.728
297,484630.2772,1430466.728
298,484630.2772,1428816.728
299,484630.2772,1427166.728
300,484630.2772,1425516.728
301,484630.2772,1423866.728
302,484630.2772,1422216.728
303,484630.2772,1420566.728
304,484630.2772,1418916.728
305,484630.2772,1417266.728
306,484630.2772,1415616.728
307,484630.2772,1413966.728
308,484630.2772,1412316.728
309,484630.2772,1410666.728
310,484630.2772,1409016.728
311,484630.2772,1407366.728
312,484630.2772,1405716.728
313,484630.2772,1404066.728
329,486059.2191,1434591.728
330,486059.2191,1432941.728
331,486059.2191,1431291.728
332,486059.2191,1429641.728
333,486059.2191,1427991.728
334,486059.2191,1426341.728
335,486059.2191,1424691.728
336,486059.2191,1423041.728
337,486059.2191,1421391.728
338,486059.2191,1419741.728
339,486059.2191,1418091.728
340,486059.2191,1416441.728
341,486059.2191,1414791.728
342,486059.2191,1413141.728
343,486059.2191,1411491.728
344,486059.2191,1409841.728
345,486059.2191,1408191.728
346,486059.2191,1406541.728
347,486059.2191,1404891.728
348,486059.2191,1403241.728
349,486059.2191,1401591.728
366,487488.161,1432116.728
367,487488.161,1430466.728
368,487488.161,1428816.728
369,487488.161,1427166.728
370,487488.161,1425516.728
371,487488.161,1423866.728
372,487488.161,1422216.728
373,487488.161,1420566.728
374,487488.161,1418916.728
375,487488.161,1417266.728
376,487488.161,1415616.728
377,487488.161,1413966.728
378,487488.161,1412316.728
379,487488.161,1410666.728
380,487488.161,1409016.728
381,487488.161,1407366.728
382,487488.161,1405716.728
383,487488.161,1404066.728
384,487488.161,1402416.728
385,487488.161,1400766.728
399,488917.1029,1434591.728
400,488917.1029,1432941.728
401,488917.1029,1431291.728
402,488917.1029,1429641.728
403,488917.1029,1427991.728
404,488917.1029,1426341.728
405,488917.1029,1424691.728
406,488917.1029,1423041.728
407,488917.1029,1421391.728
408,488917.1029,1419741.728
409,488917.1029,1418091.728
410,488917.1029,1416441.728
411,488917.1029,1414791.728
412,488917.1029,1413141.728
413,488917.1029,1411491.728
414,488917.1029,1409841.728
415,488917.1029,1408191.728
416,488917.1029,1406541.728
417,488917.1029,1404891.728
418,488917.1029,1403241.728
419,488917.1029,1401591.728
431,490346.0448,1440366.728
432,490346.0448,1438716.728
433,490346.0448,1437066.728
434,490346.0448,1435416.728
435,490346.0448,1433766.728
436,490346.0448,1432116.728
437,490346.0448,1430466.728
438,490346.0448,1428816.728
439,490346.0448,1427166.728
440,490346.0448,1425516.728
441,490346.0448,1423866.728
442,490346.0448,1422216.728
443,490346.0448,1420566.728
444,490346.0448,1418916.728
445,490346.0448,1417266.728
446,490346.0448,1415616.728
447,490346.0448,1413966.728
448,490346.0448,1412316.728
449,490346.0448,1410666.728
450,490346.0448,1409016.728
451,490346.0448,1407366.728
452,490346.0448,1405716.728
453,490346.0448,1404066.728
454,490346.0448,1402416.728
464,491774.9867,1442841.728
465,491774.9867,1441191.728
466,491774.9867,1439541.728
467,491774.9867,1437891.728
468,491774.9867,1436241.728
469,491774.9867,1434591.728
470,491774.9867,1432941.728
471,491774.9867,1431291.728
472,491774.9867,1429641.728
473,491774.9867,1427991.728
474,491774.9867,1426341.728
475,491774.9867,1424691.728
476,491774.9867,1423041.728
477,491774.9867,1421391.728
478,491774.9867,1419741.728
479,491774.9867,1418091.728
480,491774.9867,1416441.728
481,491774.9867,1414791.728
482,491774.9867,1413141.728
483,491774.9867,1411491.728
484,491774.9867,1409841.728
485,491774.9867,1408191.728
486,491774.9867,1406541.728
487,491774.9867,1404891.728
488,491774.9867,1403241.728
497,493203.9287,1446966.728
498,493203.9287,1445316.728
499,493203.9287,1443666.728
500,493203.9287,1442016.728
501,493203.9287,1440366.728
502,493203.9287,1438716.728
503,493203.9287,1437066.728
504,493203.9287,1435416.728
505,493203.9287,1433766.728
506,493203.9287,1432116.728
507,493203.9287,1430466.728
508,493203.9287,1428816.728
509,493203.9287,1427166.728
510,493203.9287,1425516.728
511,493203.9287,1423866.728
512,493203.9287,1422216.728
513,493203.9287,1420566.728
514,493203.9287,1418916.728
515,493203.9287,1417266.728
516,493203.9287,1415616.728
517,493203.9287,1413966.728
518,493203.9287,1412316.728
519,493203.9287,1410666.728
520,493203.9287,1409016.728
521,493203.9287,1407366.728
522,493203.9287,1405716.728
523,493203.9287,1404066.728
530,494632.8706,1449441.728
531,494632.8706,1447791.728
532,494632.8706,1446141.728
533,494632.8706,1444491.728
534,494632.8706,1442841.728
535,494632.8706,1441191.728
536,494632.8706,1439541.728
537,494632.8706,1437891.728
538,494632.8706,1436241.728
539,494632.8706,1434591.728
540,494632.8706,1432941.728
541,494632.8706,1431291.728
542,494632.8706,1429641.728
543,494632.8706,1427991.728
544,494632.8706,1426341.728
545,494632.8706,1424691.728
546,494632.8706,1423041.728
547,494632.8706,1421391.728
548,494632.8706,1419741.728
549,494632.8706,1418091.728
550,494632.8706,1416441.728
551,494632.8706,1414791.728
552,494632.8706,1413141.728
553,494632.8706,1411491.728
554,494632.8706,1409841.728
555,494632.8706,1408191.728
556,494632.8706,1406541.728
557,494632.8706,1404891.728
564,496061.8125,1451916.728
565,496061.8125,1450266.728
566,496061.8125,1448616.728
567,496061.8125,1446966.728
568,496061.8125,1445316.728
569,496061.8125,1443666.728
570,496061.8125,1442016.728
571,496061.8125,1440366.728
572,496061.8125,1438716.728
573,496061.8125,1437066.728
574,496061.8125,1435416.728
575,496061.8125,1433766.728
576,496061.8125,1432116.728
577,496061.8125,1430466.728
578,496061.8125,1428816.728
579,496061.8125,1427166.728
580,496061.8125,1425516.728
581,496061.8125,1423866.728
582,496061.8125,1422216.728
583,496061.8125,1420566.728
584,496061.8125,1418916.728
585,496061.8125,1417266.728
586,496061.8125,1415616.728
587,496061.8125,1413966.728
588,496061.8125,1412316.728
589,496061.8125,1410666.728
590,496061.8125,1409016.728
591,496061.8125,1407366.728
592,496061.8125,1405716.728
593,496061.8125,1404066.728
597,497490.7544,1454391.728
598,497490.7544,1452741.728
599,497490.7544,1451091.728
600,497490.7544,1449441.728
601,497490.7544,1447791.728
602,497490.7544,1446141.728
603,497490.7544,1444491.728
604,497490.7544,1442841.728
605,497490.7544,1441191.728
606,497490.7544,1439541.728
607,497490.7544,1437891.728
608,497490.7544,1436241.728
609,497490.7544,1434591.728
610,497490.7544,1432941.728
611,497490.7544,1431291.728
612,497490.7544,1429641.728
613,497490.7544,1427991.728
614,497490.7544,1426341.728
615,497490.7544,1424691.728
616,497490.7544,1423041.728
617,497490.7544,1421391.728
618,497490.7544,1419741.728
619,497490.7544,1418091.728
620,497490.7544,1416441.728
621,497490.7544,1414791.728
622,497490.7544,1413141.728
623,497490.7544,1411491.728
624,497490.7544,1409841.728
625,497490.7544,1408191.728
626,497490.7544,1406541.728
627,497490.7544,1404891.728
631,498919.6963,1456866.728
632,498919.6963,1455216.728
633,498919.6963,1453566.728
634,498919.6963,1451916.728
635,498919.6963,1450266.728
636,498919.6963,1448616.728
637,498919.6963,1446966.728
638,498919.6963,1445316.728
639,498919.6963,1443666.728
640,498919.6963,1442016.728
641,498919.6963,1440366.728
642,498919.6963,1438716.728
643,498919.6963,1437066.728
644,498919.6963,1435416.728
645,498919.6963,1433766.728
646,498919.6963,1432116.728
647,498919.6963,1430466.728
648,498919.6963,1428816.728
649,498919.6963,1427166.728
650,498919.6963,1425516.728
651,498919.6963,1423866.728
652,498919.6963,1422216.728
653,498919.6963,1420566.728
654,498919.6963,1418916.728
655,498919.6963,1417266.728
656,498919.6963,1415616.728
657,498919.6963,1413966.728
658,498919.6963,1412316.728
659,498919.6963,1410666.728
660,498919.6963,1409016.728
661,498919.6963,1407366.728
662,498919.6963,1405716.728
663,498919.6963,1404066.728
666,500348.6382,1456041.728
667,500348.6382,1454391.728
668,500348.6382,1452741.728
669,500348.6382,1451091.728
670,500348.6382,1449441.728
671,500348.6382,1447791.728
672,500348.6382,1446141.728
673,500348.6382,1444491.728
674,500348.6382,1442841.728
675,500348.6382,1441191.728
676,500348.6382,1439541.728
677,500348.6382,1437891.728
