fid,LH,fid_2,id,left,top,right,bottom,geom_wkt
"1",1,22,22,472246.113892158435192,1423041.728244151687250,474151.369780484179500,1421391.728244151920080,"MultiPolygon (((120.74570164 12.85986626, 120.75008233 12.86732817, 120.75885919 12.86733664, 120.76325484 12.85988318, 120.75887387 12.85242148, 120.75009753 12.85241302, 120.74570164 12.85986626)))"
"1",1,23,23,472246.113892158435192,1421391.728244151920080,474151.369780484179500,1419741.728244151687250,"MultiPolygon (((120.74571709 12.84495111, 120.75009753 12.85241302, 120.75887387 12.85242148, 120.76326925 12.84496801, 120.75888854 12.83750631, 120.75011271 12.83749786, 120.74571709 12.84495111)))"
"1",1,58,58,473675.055808402714320,1420566.728244151687250,475580.311696728516836,1418916.728244151687250,"MultiPolygon (((120.75888854 12.83750631, 120.76326925 12.84496801, 120.77204534 12.84497603, 120.7764402 12.83752233, 120.77205922 12.83006083, 120.76328365 12.83005283, 120.75888854 12.83750631)))"
"1",1,59,59,473675.055808402714320,1418916.728244151687250,475580.311696728516836,1417266.728244151687250,"MultiPolygon (((120.75890318 12.82259112, 120.76328365 12.83005283, 120.77205922 12.83006083, 120.77645381 12.82260712, 120.77207308 12.81514562, 120.76329803 12.81513762, 120.75890318 12.82259112)))"
"1",1,93,93,475103.997724647051655,1421391.728244151920080,477009.253612972854171,1419741.728244151687250,"MultiPolygon (((120.77204534 12.84497603, 120.77642657 12.85243752, 120.78520293 12.8524451, 120.78959754 12.84499118, 120.78521604 12.8375299, 120.7764402 12.83752233, 120.77204534 12.84497603)))"
"1",1,94,94,475103.997724647051655,1419741.728244151687250,477009.253612972854171,1418091.728244151687250,"MultiPolygon (((120.77205922 12.83006083, 120.7764402 12.83752233, 120.78521604 12.8375299, 120.78961038 12.83007596, 120.78522913 12.82261468, 120.77645381 12.82260712, 120.77205922 12.83006083)))"
"1",1,95,95,475103.997724647051655,1418091.728244151687250,477009.253612972854171,1416441.728244151687250,"MultiPolygon (((120.77207308 12.81514562, 120.77645381 12.82260712, 120.78522913 12.82261468, 120.78962321 12.81516073, 120.78524221 12.80769944, 120.77646741 12.80769189, 120.77207308 12.81514562)))"
"1",1,96,96,475103.997724647051655,1416441.728244151687250,477009.253612972854171,1414791.728244151920080,"MultiPolygon (((120.77208693 12.80023039, 120.77646741 12.80769189, 120.78524221 12.80769944, 120.78963602 12.80024548, 120.78525528 12.79278419, 120.77648099 12.79277665, 120.77208693 12.80023039)))"
"1",1,97,97,475103.997724647051655,1414791.728244151920080,477009.253612972854171,1413141.728244151687250,"MultiPolygon (((120.77210075 12.78531514, 120.77648099 12.79277665, 120.78525528 12.79278419, 120.78964882 12.78533022, 120.78526832 12.77786892, 120.77649455 12.77786139, 120.77210075 12.78531514)))"
"1",1,126,126,476532.939640891330782,1423866.728244151687250,478438.195529217133299,1422216.728244151687250,"MultiPolygon (((120.7851898 12.86736028, 120.7895718 12.87482155, 120.79834894 12.8748287, 120.80274357 12.86737458, 120.7983613 12.85991352, 120.78958468 12.85990637, 120.7851898 12.86736028)))"
"1",1,127,127,476532.939640891330782,1422216.728244151687250,478438.195529217133299,1420566.728244151687250,"MultiPolygon (((120.78520293 12.8524451, 120.78958468 12.85990637, 120.7983613 12.85991352, 120.80275566 12.85245937, 120.79837364 12.84499831, 120.78959754 12.84499118, 120.78520293 12.8524451)))"
"1",1,128,128,476532.939640891330782,1420566.728244151687250,478438.195529217133299,1418916.728244151687250,"MultiPolygon (((120.78521604 12.8375299, 120.78959754 12.84499118, 120.79837364 12.84499831, 120.80276773 12.83754416, 120.79838597 12.83008309, 120.78961038 12.83007596, 120.78521604 12.8375299)))"
