psgc,name,value,date
175109020,Tagumpay,13142.4499,31/12/2017
175109021,Victoria,7467.359372,31/12/2017
175109022,Lagnas,5435.220591,31/12/2017
175109014,San Francisco,138.9675388,31/12/2017
175109016,San Nicolas,11127.48435,31/12/2017
175109002,Buenavista,11172.71025,31/12/2017
175109003,Burgos,8651.325645,31/12/2017
175109001,Batong Buhay,17023.77734,31/12/2017
175109017,San Vicente,5639.600633,31/12/2017
175109018,Santa Lucia,47552.21808,31/12/2017
175109024,Tuban,0,31/12/2017
175109006,Ibud,4225.924515,31/12/2017
175109007,Ilvita,9620.321172,31/12/2017
175109019,Santo Nino,20422.27688,31/12/2017
175109008,Ligaya,4762.708921,31/12/2017
175109010,Paetan,2366.718154,31/12/2017
175109011,Pag-Asa,4151.799427,31/12/2017
175109013,San Agustin,379.4105406,31/12/2017
175109023,Malisbong,,
175109009,Poblacion (Lumangbayan),41114.18525,31/12/2017
175109005,General Emilio Aguinaldo,10488.87927,31/12/2017
175109004,Claudio Salgado,26330.56389,31/12/2017
