fid,id,left,top,right,bottom,geom_wkt,fid_2,LH
22,22,472246.1139,1423041.728,474151.3698,1421391.728,"MultiPolygon (((120.74570164 12.85986626, 120.75008233 12.86732817, 120.75885919 12.86733664, 120.76325484 12.85988318, 120.75887387 12.85242148, 120.75009753 12.85241302, 120.74570164 12.85986626)))",3,2
23,23,472246.1139,1421391.728,474151.3698,1419741.728,"MultiPolygon (((120.74571709 12.84495111, 120.75009753 12.85241302, 120.75887387 12.85242148, 120.76326925 12.84496801, 120.75888854 12.83750631, 120.75011271 12.83749786, 120.74571709 12.84495111)))",3,2
49,49,473675.0558,1435416.728,475580.3117,1433766.728,"MultiPolygon (((120.75875591 12.97174227, 120.76313889 12.97920394, 120.77191966 12.97921204, 120.77631694 12.97175845, 120.77193369 12.96429699, 120.76315344 12.9642889, 120.75875591 12.97174227)))",,
50,50,473675.0558,1433766.728,475580.3117,1432116.728,"MultiPolygon (((120.75877072 12.95682723, 120.76315344 12.9642889, 120.77193369 12.96429699, 120.7763307 12.9568434, 120.77194771 12.94938193, 120.76316798 12.94937385, 120.75877072 12.95682723)))",,
51,51,473675.0558,1432116.728,475580.3117,1430466.728,"MultiPolygon (((120.75878551 12.94191217, 120.76316798 12.94937385, 120.77194771 12.94938193, 120.77634445 12.94192832, 120.77196171 12.93446685, 120.7631825 12.93445878, 120.75878551 12.94191217)))",,
58,58,473675.0558,1420566.728,475580.3117,1418916.728,"MultiPolygon (((120.75888854 12.83750631, 120.76326925 12.84496801, 120.77204534 12.84497603, 120.7764402 12.83752233, 120.77205922 12.83006083, 120.76328365 12.83005283, 120.75888854 12.83750631)))",3,2
59,59,473675.0558,1418916.728,475580.3117,1417266.728,"MultiPolygon (((120.75890318 12.82259112, 120.76328365 12.83005283, 120.77205922 12.83006083, 120.77645381 12.82260712, 120.77207308 12.81514562, 120.76329803 12.81513762, 120.75890318 12.82259112)))",3,2
84,84,475103.9977,1436241.728,477009.2536,1434591.728,"MultiPolygon (((120.77191966 12.97921204, 120.77630316 12.98667349, 120.78508421 12.98668115, 120.78948123 12.97922735, 120.78509746 12.9717661, 120.77631694 12.97175845, 120.77191966 12.97921204)))",,
85,85,475103.9977,1434591.728,477009.2536,1432941.728,"MultiPolygon (((120.77193369 12.96429699, 120.77631694 12.97175845, 120.78509746 12.9717661, 120.78949421 12.96431228, 120.7851107 12.95685104, 120.7763307 12.9568434, 120.77193369 12.96429699)))",,
86,86,475103.9977,1432941.728,477009.2536,1431291.728,"MultiPolygon (((120.77194771 12.94938193, 120.7763307 12.9568434, 120.7851107 12.95685104, 120.78950718 12.9493972, 120.78512392 12.94193595, 120.77634445 12.94192832, 120.77194771 12.94938193)))",,
87,87,475103.9977,1431291.728,477009.2536,1429641.728,"MultiPolygon (((120.77196171 12.93446685, 120.77634445 12.94192832, 120.78512392 12.94193595, 120.78952014 12.93448211, 120.78513713 12.92702085, 120.77635818 12.92701323, 120.77196171 12.93446685)))",,
88,88,475103.9977,1429641.728,477009.2536,1427991.728,"MultiPolygon (((120.77197569 12.91955176, 120.77635818 12.92701323, 120.78513713 12.92702085, 120.78953308 12.91956699, 120.78515032 12.91210574, 120.77637189 12.91209812, 120.77197569 12.91955176)))",,
89,89,475103.9977,1427991.728,477009.2536,1426341.728,"MultiPolygon (((120.77198965 12.90463665, 120.77637189 12.91209812, 120.78515032 12.91210574, 120.789546 12.90465186, 120.7851635 12.8971906, 120.77638558 12.897183, 120.77198965 12.90463665)))",,
90,90,475103.9977,1426341.728,477009.2536,1424691.728,"MultiPolygon (((120.7720036 12.88972152, 120.77638558 12.897183, 120.7851635 12.8971906, 120.78955891 12.88973672, 120.78517666 12.88227545, 120.77639926 12.88226785, 120.7720036 12.88972152)))",,
91,91,475103.9977,1424691.728,477009.2536,1423041.728,"MultiPolygon (((120.77201753 12.87480637, 120.77639926 12.88226785, 120.78517666 12.88227545, 120.7895718 12.87482155, 120.7851898 12.86736028, 120.77641292 12.86735269, 120.77201753 12.87480637)))",,
92,92,475103.9977,1423041.728,477009.2536,1421391.728,"MultiPolygon (((120.77203144 12.85989121, 120.77641292 12.86735269, 120.7851898 12.86736028, 120.78958468 12.85990637, 120.78520293 12.8524451, 120.77642657 12.85243752, 120.77203144 12.85989121)))",,
93,93,475103.9977,1421391.728,477009.2536,1419741.728,"MultiPolygon (((120.77204534 12.84497603, 120.77642657 12.85243752, 120.78520293 12.8524451, 120.78959754 12.84499118, 120.78521604 12.8375299, 120.7764402 12.83752233, 120.77204534 12.84497603)))",1,1
