id,BARANGAY,PSGC,LAND COVERAGE,RHU,POPULATION DENSITY PER HEXAGON,POIs PER HEXAGON,ROADS,STORM SURGE HAZARD LEVEL,FLOOD HAZARD LEVEL,LANDSLIDE HAZARD LEVEL,LANDCOVER NUMERICAL
22,Ligaya,PH175109009,Brush/Shrubs,0,0,1,1,0,0,2,1
23,Burgos,PH175109009,Brush/Shrubs,0,0,0,0,0,0,2,1
49,Pag-Asa,PH175109004,NULL,0,154.5388074,0,0,3,2,0,0
50,San Agustin,PH175109004,Built Up,0,214.8126723,0,0,3,2,0,0
51,San Agustin,PH175109004,Grassland,0,302.9027046,0,0,3,1,0,1
58,Burgos,PH175109009,Built Up,0,1243.89281,13,1,3,2,2,0
59,Burgos,PH175109009,NULL,0,0,0,0,3,2,2,0
84,San Agustin,PH175109004,Annual Crop,0,82.98335085,0,0,3,2,0,0
85,San Agustin,PH175109004,Annual Crop,0,75.0681483,0,1,3,2,0,0
86,Batong Buhay,PH175109004,inland water,0,164.8609486,4,1,3,3,0,0
87,Batong Buhay,PH175109004,Annual Crop,0,146.639314,0,0,3,2,0,0
88,Batong Buhay,PH175109004,Brush/Shrubs,0,168.7753023,0,0,3,2,0,1
89,Malisbong,PH175109004,Brush/Shrubs,0,239.7372697,0,0,3,3,0,1
90,Pag-Asa,PH175109006,Annual Crop,0,204.4484187,0,0,3,2,0,0
91,Pag-Asa,PH175109006,Annual Crop,0,388.3533783,0,0,3,2,0,0
92,Batong Buhay,PH175109019,Perennial Crop,0,1763.793945,3,1,3,2,0,0
93,Batong Buhay,PH175109002,Built Up,1,1590.110229,47,1,3,2,1,0
94,Pag-Asa,PH175109009,Built Up,0,506.9528427,4,1,3,2,2,0
95,Pag-Asa,PH175109009,Brush/Shrubs,0,181.431633,1,1,3,1,2,1
96,Ligaya,PH175109018,NULL,0,0,0,0,3,1,1,0
97,Burgos,PH175109018,Perennial Crop,0,115.1348208,0,1,3,2,2,0
98,Burgos,PH175109018,NULL,0,126.351181,0,0,3,1,0,0
100,Burgos,PH175109018,NULL,0,0,0,0,3,1,0,0
118,Malisbong,PH175109004,NULL,0,201.3261737,0,0,2,2,0,0
119,Malisbong,PH175109004,Annual Crop,0,104.5529099,0,1,2,2,0,0
120,Malisbong,PH175109004,Annual Crop,0,42.1661644,0,0,2,2,0,0
121,Ligaya,PH175109004,Annual Crop,0,38.44743729,0,0,3,3,0,0
122,Ligaya,PH175109004,Annual Crop,0,74.7134107,0,0,3,2,0,0
123,Burgos,PH175109004,Annual Crop,0,86.37841034,0,0,3,3,0,0
124,Pag-Asa,PH175109006,Annual Crop,0,126.8078893,0,1,3,3,0,0
125,Pag-Asa,PH175109006,Annual Crop,0,239.6725464,0,1,3,2,0,0
126,Batong Buhay,PH175109019,Annual Crop,0,732.4038544,0,1,3,2,2,0
127,Batong Buhay,PH175109019,Brush/Shrubs,0,837.013031,0,1,2,1,1,1
128,Pag-Asa,PH175109009,Brush/Shrubs,0,129.9716377,0,0,0,2,2,1
129,Pag-Asa,PH175109009,Brush/Shrubs,0,60.39352036,0,1,2,2,1,1
130,Burgos,PH175109018,Brush/Shrubs,0,39.86988258,0,1,3,1,2,1
131,SanAgustin,PH175109018,Brush/Shrubs,0,36.45482635,0,1,3,2,2,1
132,San Agustin,PH175109018,Brush/Shrubs,0,83.03134727,2,1,3,2,1,1
133,San Agustin,PH175109018,Brush/Shubs,0,182.8433533,1,1,3,1,2,0
134,San Agustin,PH175109018,Annual Crop,0,331.8771591,0,1,3,1,0,0
135,San Agustin,PH175109016,Annual Crop,0,112.4160118,0,0,3,2,0,0
136,San Agustin,PH175109016,NULL,0,133.0301182,0,0,3,2,0,0
154,Burgos,PH175109004,Annual Crop,0,319.1649628,1,1,0,2,0,0
155,Burgos,PH175109004,Annual Crop,0,66.37104511,0,1,2,2,0,0
156,Burgos,PH175109004,Annual Crop,0,46.39176464,0,0,1,2,0,0
157,Ligaya,PH175109021,Annual Crop,0,54.33431625,0,0,1,2,0,0
158,Malisbong,PH175109020,Annual Crop,0,72.73437119,2,0,2,3,0,0
159,Malisbong,PH175109020,Annual Crop,0,98.84300137,0,0,2,1,0,0
160,Pag-Asa,PH175109006,Annual Crop,0,262.573143,1,0,2,1,0,0
161,Batong Buhay,PH175109019,Brush/Shrubs,0,430.1041374,0,0,2,1,2,1
162,Malisbong,PH175109019,Brush/Shubs,0,214.2741547,1,0,0,2,2,0
163,Malisbong,PH175109019,Brush/Shrubs,0,212.2247314,0,0,0,2,1,1
164,Ligaya,PH175109024,Brush/Shrubs,0,71.30614948,0,0,0,1,2,1
165,San Agustin,PH175109018,Brush/Shrubs,0,29.68353653,0,0,0,1,2,1
166,San Agustin,PH175109018,Brush/Shrubs,0,30.89974785,0,0,0,2,2,1
167,San Agustin,PH175109018,Brush/Shrubs,0,21.72891617,0,0,0,2,2,1
168,San Agustin,PH175109018,Brush/Shrubs,0,31.63377571,0,0,0,1,2,1
169,San Agustin,PH175109018,Annual Crop,0,76.30988312,2,0,0,1,2,0
170,San Agustin,PH175109016,Annual Crop,0,44.76221752,0,0,2,2,0,0
171,San Agustin,PH175109016,inland water,0,111.3374507,1,0,3,2,0,0
188,Pag-Asa,PH175109004,NULL,0,373.9398668,0,0,0,2,2,0
189,Pag-Asa,PH175109004,Annual Crop,0,173.5868009,0,0,0,2,0,0
190,San Agustin,PH175109007,Built Up,0,110.2808075,3,0,1,3,0,0
191,Burgos,PH175109021,Annual Crop,0,99.19086456,0,0,0,2,0,0
192,Burgos,PH175109021,Annual Crop,0,82.02555593,2,0,0,2,0,0
193,Malisbong,PH175109020,Annual Crop,0,46.30811882,0,1,0,2,0,0
194,San Agustin,PH175109017,Annual Crop,0,104.2768326,0,1,0,1,0,0
195,Batong Buhay,PH175109017,Annual Crop,0,305.6322784,1,1,0,1,2,0
196,Batong Buhay,PH175109017,Brush/Shrubs,0,103.0152855,0,0,0,2,2,1
197,Ligaya,PH175109024,Brush/Shrubs,0,75.42822011,0,0,0,2,2,1
198,Burgos,PH175109024,Brush/Shrubs,0,94.24123001,0,1,0,1,1,1
199,Burgos,PH175109024,Brush/Shrubs,0,52.54802513,0,1,0,1,1,1
200,Burgos,PH175109024,Annual Crop,0,49.26616669,0,1,0,2,1,0
201,San Agustin,PH175109018,Brush/Shrubs,0,38.6944418,0,1,0,2,2,1
202,San Agustin,PH175109018,Annual Crop,0,32.77511597,1,1,0,1,2,0
203,Batong Buhay,PH175109018,Annual Crop,0,34.68528811,0,1,0,1,2,0
