ID,BARANGAY,PSGC
267,Batong Buhay,PH175109001
268,Batong Buhay,PH175109001
303,Batong Buhay,PH175109001
304,Batong Buhay,PH175109001
305,Batong Buhay,PH175109001
337,Batong Buhay,PH175109001
338,Batong Buhay,PH175109001
372,Batong Buhay,PH175109001
373,Batong Buhay,PH175109001
406,Batong Buhay,PH175109001
407,Batong Buhay,PH175109001
408,Batong Buhay,PH175109001
441,Batong Buhay,PH175109001
442,Batong Buhay,PH175109001
443,Batong Buhay,PH175109001
476,Batong Buhay,PH175109001
477,Batong Buhay,PH175109001
478,Batong Buhay,PH175109001
511,Batong Buhay,PH175109001
512,Batong Buhay,PH175109001
513,Batong Buhay,PH175109001
545,Batong Buhay,PH175109001
546,Batong Buhay,PH175109001
547,Batong Buhay,PH175109001
548,Batong Buhay,PH175109001
580,Batong Buhay,PH175109001
581,Batong Buhay,PH175109001
582,Batong Buhay,PH175109001
583,Batong Buhay,PH175109001
615,Batong Buhay,PH175109001
616,Batong Buhay,PH175109001
617,Batong Buhay,PH175109001
618,Batong Buhay,PH175109001
650,Batong Buhay,PH175109001
651,Batong Buhay,PH175109001
652,Batong Buhay,PH175109001
653,Batong Buhay,PH175109001
685,Batong Buhay,PH175109001
686,Batong Buhay,PH175109001
687,Batong Buhay,PH175109001
688,Batong Buhay,PH175109001
720,Batong Buhay,PH175109001
721,Batong Buhay,PH175109001
722,Batong Buhay,PH175109001
723,Batong Buhay,PH175109001
755,Batong Buhay,PH175109001
756,Batong Buhay,PH175109001
757,Batong Buhay,PH175109001
758,Batong Buhay,PH175109001
790,Batong Buhay,PH175109001
791,Batong Buhay,PH175109001
792,Batong Buhay,PH175109001
793,Batong Buhay,PH175109001
825,Batong Buhay,PH175109001
826,Batong Buhay,PH175109001
827,Batong Buhay,PH175109001
828,Batong Buhay,PH175109001
860,Batong Buhay,PH175109001
861,Batong Buhay,PH175109001
862,Batong Buhay,PH175109001
863,Batong Buhay,PH175109001
895,Batong Buhay,PH175109001
896,Batong Buhay,PH175109001
897,Batong Buhay,PH175109001
898,Batong Buhay,PH175109001
930,Batong Buhay,PH175109001
931,Batong Buhay,PH175109001
