,id,BARANGAY,PSGC,LAND COVERAGE,RHU,POPULATION DENSITY PER HEXAGON,POIs PER HEXAGON,ROADS,STORM SURGE HAZARD LEVEL,FLOOD HAZARD LEVEL,LANDSLIDE HAZARD LEVEL,LANDCOVER NUMERICAL,HCFAI,Cluster
0,22,Ligaya,PH175109009,Brush/Shrubs,0,0,1,1,0,0,2,1,0,LOW
1,22,Ligaya,PH175109009,Brush/Shrubs,0,0,1,1,0,0,2,1,0,LOW
2,22,Ligaya,PH175109009,Brush/Shrubs,0,0,1,1,0,0,2,1,0,LOW
3,22,Ligaya,PH175109009,Brush/Shrubs,0,0,1,1,0,0,2,1,0,LOW
4,22,Ligaya,PH175109009,Brush/Shrubs,0,0,1,1,0,0,2,1,0,LOW
5,22,Ligaya,PH175109009,Brush/Shrubs,0,0,1,1,0,0,2,1,0,LOW
6,22,Ligaya,PH175109009,Brush/Shrubs,0,0,1,1,0,0,2,1,0,LOW
7,22,Ligaya,PH175109009,Brush/Shrubs,0,0,1,1,0,0,2,1,0,LOW
8,22,Ligaya,PH175109009,Brush/Shrubs,0,0,1,1,0,0,2,1,0,LOW
9,22,Ligaya,PH175109009,Brush/Shrubs,0,0,1,1,0,0,2,1,0,LOW
10,23,Burgos,PH175109009,Brush/Shrubs,0,0,0,0,0,0,2,1,0,LOW
11,23,Burgos,PH175109009,Brush/Shrubs,0,0,0,0,0,0,2,1,0,LOW
12,23,Burgos,PH175109009,Brush/Shrubs,0,0,0,0,0,0,2,1,0,LOW
13,23,Burgos,PH175109009,Brush/Shrubs,0,0,0,0,0,0,2,1,0,LOW
14,23,Burgos,PH175109009,Brush/Shrubs,0,0,0,0,0,0,2,1,0,LOW
15,23,Burgos,PH175109009,Brush/Shrubs,0,0,0,0,0,0,2,1,0,LOW
16,23,Burgos,PH175109009,Brush/Shrubs,0,0,0,0,0,0,2,1,0,LOW
17,23,Burgos,PH175109009,Brush/Shrubs,0,0,0,0,0,0,2,1,0,LOW
18,23,Burgos,PH175109009,Brush/Shrubs,0,0,0,0,0,0,2,1,0,LOW
19,23,Burgos,PH175109009,Brush/Shrubs,0,0,0,0,0,0,2,1,0,LOW
20,49,Pag-Asa,PH175109004,,0,154.5388074,0,0,3,2,0,0,1151.19717,MID
21,50,San Agustin,PH175109004,Built Up,0,214.8126723,0,0,3,2,0,0,1600.191852,MID
22,51,San Agustin,PH175109004,Grassland,0,302.9027046,0,0,3,1,0,1,2469.77542,HIGH
23,58,Burgos,PH175109009,Built Up,0,1243.89281,13,1,3,2,2,0,5967.815673,HIGH
24,59,Burgos,PH175109009,,0,0,0,0,3,2,2,0,0,LOW
25,59,Burgos,PH175109009,,0,0,0,0,3,2,2,0,0,LOW
26,59,Burgos,PH175109009,,0,0,0,0,3,2,2,0,0,LOW
27,59,Burgos,PH175109009,,0,0,0,0,3,2,2,0,0,LOW
28,59,Burgos,PH175109009,,0,0,0,0,3,2,2,0,0,LOW
29,59,Burgos,PH175109009,,0,0,0,0,3,2,2,0,0,LOW
30,59,Burgos,PH175109009,,0,0,0,0,3,2,2,0,0,LOW
31,59,Burgos,PH175109009,,0,0,0,0,3,2,2,0,0,LOW
32,59,Burgos,PH175109009,,0,0,0,0,3,2,2,0,0,LOW
33,59,Burgos,PH175109009,,0,0,0,0,3,2,2,0,0,LOW
34,84,San Agustin,PH175109004,Annual Crop,0,82.98335085,0,0,3,2,0,0,618.1631673,LOW
35,85,San Agustin,PH175109004,Annual Crop,0,75.0681483,0,1,3,2,0,0,581.7213425,LOW
36,86,Batong Buhay,PH175109004,inland water,0,164.8609486,4,1,3,3,0,0,1418.065842,MID
37,87,Batong Buhay,PH175109004,Annual Crop,0,146.639314,0,0,3,2,0,0,1092.351922,MID
38,88,Batong Buhay,PH175109004,Brush/Shrubs,0,168.7753023,0,0,3,2,0,1,1307.880874,MID
39,89,Malisbong,PH175109004,Brush/Shrubs,0,239.7372697,0,0,3,3,0,1,1822.383785,MID
40,90,Pag-Asa,PH175109006,Annual Crop,0,204.4484187,0,0,3,2,0,0,1522.986006,MID
41,91,Pag-Asa,PH175109006,Annual Crop,0,388.3533783,0,0,3,2,0,0,2892.938787,HIGH
42,92,Batong Buhay,PH175109019,Perennial Crop,0,1763.793945,3,1,3,2,0,0,14990.9138,HIGH
43,93,Batong Buhay,PH175109002,Built Up,1,1590.110229,47,1,3,2,1,0,0,LOW
44,93,Batong Buhay,PH175109002,Built Up,1,1590.110229,47,1,3,2,1,0,0,LOW
45,93,Batong Buhay,PH175109002,Built Up,1,1590.110229,47,1,3,2,1,0,0,LOW
46,93,Batong Buhay,PH175109002,Built Up,1,1590.110229,47,1,3,2,1,0,0,LOW
47,93,Batong Buhay,PH175109002,Built Up,1,1590.110229,47,1,3,2,1,0,0,LOW
48,93,Batong Buhay,PH175109002,Built Up,1,1590.110229,47,1,3,2,1,0,0,LOW
49,93,Batong Buhay,PH175109002,Built Up,1,1590.110229,47,1,3,2,1,0,0,LOW
50,93,Batong Buhay,PH175109002,Built Up,1,1590.110229,47,1,3,2,1,0,0,LOW
51,93,Batong Buhay,PH175109002,Built Up,1,1590.110229,47,1,3,2,1,0,0,LOW
52,93,Batong Buhay,PH175109002,Built Up,1,1590.110229,47,1,3,2,1,0,0,LOW
53,94,Pag-Asa,PH175109009,Built Up,0,506.9528427,4,1,3,2,2,0,1291.560146,MID
54,95,Pag-Asa,PH175109009,Brush/Shrubs,0,181.431633,1,1,3,1,2,1,453.9676753,LOW
55,96,Ligaya,PH175109018,,0,0,0,0,3,1,1,0,0,LOW
56,96,Ligaya,PH175109018,,0,0,0,0,3,1,1,0,0,LOW
57,96,Ligaya,PH175109018,,0,0,0,0,3,1,1,0,0,LOW
58,96,Ligaya,PH175109018,,0,0,0,0,3,1,1,0,0,LOW
59,96,Ligaya,PH175109018,,0,0,0,0,3,1,1,0,0,LOW
60,96,Ligaya,PH175109018,,0,0,0,0,3,1,1,0,0,LOW
61,96,Ligaya,PH175109018,,0,0,0,0,3,1,1,0,0,LOW
62,96,Ligaya,PH175109018,,0,0,0,0,3,1,1,0,0,LOW
63,96,Ligaya,PH175109018,,0,0,0,0,3,1,1,0,0,LOW
64,96,Ligaya,PH175109018,,0,0,0,0,3,1,1,0,0,LOW
65,97,Burgos,PH175109018,Perennial Crop,0,115.1348208,0,1,3,2,2,0,178.1933419,LOW
66,98,Burgos,PH175109018,,0,126.351181,0,0,3,1,0,0,992.3232849,MID
67,100,Burgos,PH175109018,,0,0,0,0,3,1,0,0,0,LOW
68,100,Burgos,PH175109018,,0,0,0,0,3,1,0,0,0,LOW
69,100,Burgos,PH175109018,,0,0,0,0,3,1,0,0,0,LOW
