id,X,Y
"22",473198.741836321,1422216.72824415
"23",473198.741836321,1420566.72824415
"49",474627.683752566,1434591.72824415
"50",474627.683752566,1432941.72824415
"51",474627.683752566,1431291.72824415
"58",474627.683752566,1419741.72824415
"59",474627.683752566,1418091.72824415
"84",476056.62566881,1435416.72824415
"85",476056.62566881,1433766.72824415
"86",476056.62566881,1432116.72824415
"87",476056.62566881,1430466.72824415
"88",476056.62566881,1428816.72824415
"89",476056.62566881,1427166.72824415
"90",476056.62566881,1425516.72824415
"91",476056.62566881,1423866.72824415
"92",476056.62566881,1422216.72824415
"93",476056.62566881,1420566.72824415
"94",476056.62566881,1418916.72824415
"95",476056.62566881,1417266.72824415
"96",476056.62566881,1415616.72824415
"97",476056.62566881,1413966.72824415
"98",476056.62566881,1412316.72824415
"100",476056.62566881,1409016.72824415
"118",477485.567585054,1436241.72824415
"119",477485.567585054,1434591.72824415
"120",477485.567585054,1432941.72824415
"121",477485.567585054,1431291.72824415
"122",477485.567585054,1429641.72824415
"123",477485.567585054,1427991.72824415
"124",477485.567585054,1426341.72824415
"125",477485.567585054,1424691.72824415
"126",477485.567585054,1423041.72824415
"127",477485.567585054,1421391.72824415
"128",477485.567585054,1419741.72824415
"129",477485.567585054,1418091.72824415
"130",477485.567585054,1416441.72824415
"131",477485.567585054,1414791.72824415
"132",477485.567585054,1413141.72824415
"133",477485.567585054,1411491.72824415
"134",477485.567585054,1409841.72824415
"135",477485.567585054,1408191.72824415
"136",477485.567585054,1406541.72824415
"154",478914.509501299,1435416.72824415
"155",478914.509501299,1433766.72824415
"156",478914.509501299,1432116.72824415
"157",478914.509501299,1430466.72824415
"158",478914.509501299,1428816.72824415
"159",478914.509501299,1427166.72824415
"160",478914.509501299,1425516.72824415
"161",478914.509501299,1423866.72824415
"162",478914.509501299,1422216.72824415
"163",478914.509501299,1420566.72824415
"164",478914.509501299,1418916.72824415
"165",478914.509501299,1417266.72824415
"166",478914.509501299,1415616.72824415
"167",478914.509501299,1413966.72824415
"168",478914.509501299,1412316.72824415
"169",478914.509501299,1410666.72824415
"170",478914.509501299,1409016.72824415
"171",478914.509501299,1407366.72824415
"188",480343.451417543,1436241.72824415
"189",480343.451417543,1434591.72824415
"190",480343.451417543,1432941.72824415
"191",480343.451417543,1431291.72824415
"192",480343.451417543,1429641.72824415
"193",480343.451417543,1427991.72824415
"194",480343.451417543,1426341.72824415
"195",480343.451417543,1424691.72824415
"196",480343.451417543,1423041.72824415
