,id,BARANGAY,PSGC,LAND COVERAGE,RHU,POPULATION DENSITY PER HEXAGON,POIs PER HEXAGON,ROADS,STORM SURGE HAZARD LEVEL,FLOOD HAZARD LEVEL,LANDSLIDE HAZARD LEVEL,LANDCOVER NUMERICAL,HCFAI
0,22,Ligaya,PH175109009,Brush/Shrubs,0,0,1,1,0,0,2,1,0
1,23,Burgos,PH175109009,Brush/Shrubs,0,0,0,0,0,0,2,1,0
2,49,Pag-Asa,PH175109004,,0,154.5388074,0,0,3,2,0,0,1151.19717
3,50,San Agustin,PH175109004,Built Up,0,214.8126723,0,0,3,2,0,0,1600.191852
4,51,San Agustin,PH175109004,Grassland,0,302.9027046,0,0,3,1,0,1,2469.77542
5,58,Burgos,PH175109009,Built Up,0,1243.89281,13,1,3,2,2,0,5967.815673
6,59,Burgos,PH175109009,,0,0,0,0,3,2,2,0,0
7,84,San Agustin,PH175109004,Annual Crop,0,82.98335085,0,0,3,2,0,0,618.1631673
8,85,San Agustin,PH175109004,Annual Crop,0,75.0681483,0,1,3,2,0,0,581.7213425
9,86,Batong Buhay,PH175109004,inland water,0,164.8609486,4,1,3,3,0,0,1418.065842
10,87,Batong Buhay,PH175109004,Annual Crop,0,146.639314,0,0,3,2,0,0,1092.351922
11,88,Batong Buhay,PH175109004,Brush/Shrubs,0,168.7753023,0,0,3,2,0,1,1307.880874
12,89,Malisbong,PH175109004,Brush/Shrubs,0,239.7372697,0,0,3,3,0,1,1822.383785
13,90,Pag-Asa,PH175109006,Annual Crop,0,204.4484187,0,0,3,2,0,0,1522.986006
14,91,Pag-Asa,PH175109006,Annual Crop,0,388.3533783,0,0,3,2,0,0,2892.938787
15,92,Batong Buhay,PH175109019,Perennial Crop,0,1763.793945,3,1,3,2,0,0,14990.9138
16,93,Batong Buhay,PH175109002,Built Up,1,1590.110229,47,1,3,2,1,0,0
17,94,Pag-Asa,PH175109009,Built Up,0,506.9528427,4,1,3,2,2,0,1291.560146
18,95,Pag-Asa,PH175109009,Brush/Shrubs,0,181.431633,1,1,3,1,2,1,453.9676753
19,96,Ligaya,PH175109018,,0,0,0,0,3,1,1,0,0
20,97,Burgos,PH175109018,Perennial Crop,0,115.1348208,0,1,3,2,2,0,178.1933419
21,98,Burgos,PH175109018,,0,126.351181,0,0,3,1,0,0,992.3232849
22,100,Burgos,PH175109018,,0,0,0,0,3,1,0,0,0
23,118,Malisbong,PH175109004,,0,201.3261737,0,0,2,2,0,0,1529.454653
24,119,Malisbong,PH175109004,Annual Crop,0,104.5529099,0,1,2,2,0,0,825.6437931
25,120,Malisbong,PH175109004,Annual Crop,0,42.1661644,0,0,2,2,0,0,320.3321016
