,HCFAI,Accessibility,
0,0,Cluster 0,1
1,0,Cluster 0,1
2,1151.19717,Cluster 3,4
3,1600.191852,Cluster 3,4
4,2469.77542,Cluster 1,2
5,5967.815673,Cluster 1,2
6,0,Cluster 0,1
7,618.1631673,Cluster 0,1
8,581.7213425,Cluster 0,1
9,1418.065842,Cluster 3,4
10,1092.351922,Cluster 3,4
11,1307.880874,Cluster 3,4
12,1822.383785,Cluster 3,4
13,1522.986006,Cluster 3,4
14,2892.938787,Cluster 1,2
15,14990.9138,Cluster 2,3
16,0,Cluster 0,1
17,1291.560146,Cluster 3,4
18,453.9676753,Cluster 0,1
19,0,Cluster 0,1
20,178.1933419,Cluster 0,1
21,992.3232849,Cluster 3,4
22,0,Cluster 0,1
23,1529.454653,Cluster 3,4
24,825.6437931,Cluster 3,4
25,320.3321016,Cluster 0,1
26,280.7273199,Cluster 0,1
27,556.5583713,Cluster 0,1
28,630.6995041,Cluster 0,1
29,963.941241,Cluster 3,4
30,1857.280866,Cluster 3,4
31,1133.536228,Cluster 3,4
32,2347.191042,Cluster 1,2
33,1026.372925,Cluster 3,4
34,144.9322358,Cluster 0,1
35,89.79262967,Cluster 0,1
36,67.35732293,Cluster 0,1
37,228.5140427,Cluster 0,1
38,402.6469937,Cluster 0,1
39,2706.024204,Cluster 1,2
40,837.4142186,Cluster 3,4
41,990.9737118,Cluster 3,4
42,4579.522387,Cluster 1,2
43,524.1254547,Cluster 0,1
44,371.1966608,Cluster 0,1
45,434.7477815,Cluster 0,1
46,578.1832102,Cluster 0,1
47,790.8772674,Cluster 3,4
48,2166.582421,Cluster 3,4
49,903.131711,Cluster 3,4
50,1681.387698,Cluster 3,4
51,1761.751384,Cluster 3,4
52,591.937173,Cluster 0,1
53,246.4133714,Cluster 0,1
54,244.0121948,Cluster 0,1
55,171.5910613,Cluster 0,1
56,262.6029859,Cluster 0,1
57,648.7368847,Cluster 0,1
58,340.0540556,Cluster 0,1
59,857.2141172,Cluster 3,4
60,2840.783484,Cluster 1,2
61,2395.228726,Cluster 1,2
62,948.8221235,Cluster 3,4
63,1368.680147,Cluster 3,4
64,1172.838278,Cluster 3,4
65,652.8726798,Cluster 0,1
66,1512.316324,Cluster 3,4
67,2613.568022,Cluster 1,2
68,813.5013282,Cluster 3,4
69,595.6490529,Cluster 0,1
70,848.7173961,Cluster 3,4
71,473.2368524,Cluster 0,1
72,408.9756024,Cluster 0,1
73,317.17444,Cluster 0,1
74,280.2714277,Cluster 0,1
75,287.9346527,Cluster 0,1
76,418.0081059,Cluster 0,1
77,139.5527905,Cluster 0,1
78,1469.272613,Cluster 3,4
79,2983.037229,Cluster 1,2
80,1175.3354,Cluster 3,4
81,859.200066,Cluster 3,4
82,1634.957815,Cluster 3,4
83,1073.958272,Cluster 3,4
84,1484.41223,Cluster 3,4
85,6844.106349,Cluster 1,2
86,2439.819165,Cluster 1,2
87,644.1924055,Cluster 0,1
88,506.7771756,Cluster 0,1
89,517.5733661,Cluster 0,1
90,831.908913,Cluster 3,4
91,1648.799359,Cluster 3,4
92,606.1234316,Cluster 0,1
93,498.0602542,Cluster 0,1
94,268.7472827,Cluster 0,1
95,98.07913518,Cluster 0,1
96,1999.466549,Cluster 3,4
97,1202.573683,Cluster 3,4
98,1165.75142,Cluster 3,4
99,2005.719378,Cluster 3,4
100,1678.540404,Cluster 3,4
101,1944.778281,Cluster 3,4
102,3819.046758,Cluster 1,2
103,3685.230206,Cluster 1,2
104,1490.747188,Cluster 3,4
105,765.1462323,Cluster 3,4
106,438.9270707,Cluster 0,1
107,304.3376718,Cluster 0,1
108,413.4866288,Cluster 0,1
109,837.2766547,Cluster 3,4
110,885.5289129,Cluster 3,4
111,378.1450463,Cluster 0,1
112,258.6042612,Cluster 0,1
113,531.8382991,Cluster 0,1
114,612.8214684,Cluster 0,1
115,,Cluster 0,1
116,1116.577324,Cluster 3,4
117,1110.738905,Cluster 3,4
118,1209.278535,Cluster 3,4
119,3059.619144,Cluster 1,2
120,2468.057676,Cluster 1,2
121,2700.604459,Cluster 1,2
122,2917.703056,Cluster 1,2
123,984.2962731,Cluster 3,4
124,351.0393932,Cluster 0,1
125,223.1612829,Cluster 0,1
126,454.6883081,Cluster 0,1
127,1523.025263,Cluster 3,4
128,364.9483908,Cluster 0,1
129,212.6394963,Cluster 0,1
130,390.8461424,Cluster 0,1
131,346.3220264,Cluster 0,1
132,492.6949886,Cluster 0,1
133,0,Cluster 0,1
134,3927.563026,Cluster 1,2
