Hex_ID,Barangay_name,PCSG,Population_density*,Latitude,Longitude,Buildability,RHU_in_area
267,Batong Buhay,PH175109001,15151504,,,,0
268,Batong Buhay,PH175109001,124322,,,,0
303,Batong Buhay,PH175109001,15654,,,,1
304,Batong Buhay,PH175109001,10,,,,0
305,Batong Buhay,PH175109001,1455896,,,,0
337,Batong Buhay,PH175109001,45657,,,,1
338,Batong Buhay,PH175109001,15914,,,,0
372,Batong Buhay,PH175109001,21062,,,,0
373,Batong Buhay,PH175109001,11627,,,,1
406,Batong Buhay,PH175109001,20856,,,,0
407,Batong Buhay,PH175109001,2864,,,,0
408,Batong Buhay,PH175109001,5171,,,,1
441,Batong Buhay,PH175109001,7549,,,,1
442,Batong Buhay,PH175109001,15909,,,,1
443,Batong Buhay,PH175109001,2395,,,,1
476,Batong Buhay,PH175109001,10546,,,,1
477,Batong Buhay,PH175109001,13640,,,,0
478,Batong Buhay,PH175109001,7066,,,,0
511,Batong Buhay,PH175109001,8394,,,,0
512,Batong Buhay,PH175109001,27883,,,,0
513,Batong Buhay,PH175109001,21497,,,,1
545,Batong Buhay,PH175109001,24182,,,,0
546,Batong Buhay,PH175109001,17022,,,,0
547,Batong Buhay,PH175109001,29982,,,,1
548,Batong Buhay,PH175109001,472,,,,1
580,Batong Buhay,PH175109001,22871,,,,1
581,Batong Buhay,PH175109001,2045,,,,0
582,Batong Buhay,PH175109001,26134,,,,0
583,Batong Buhay,PH175109001,25694,,,,1
615,Batong Buhay,PH175109001,1763,,,,0
616,Batong Buhay,PH175109001,11309,,,,0
617,Batong Buhay,PH175109001,16929,,,,1
618,Batong Buhay,PH175109001,29304,,,,0
650,Batong Buhay,PH175109001,10705,,,,1
651,Batong Buhay,PH175109001,19764,,,,0
652,Batong Buhay,PH175109001,15410,,,,0
653,Batong Buhay,PH175109001,1710,,,,0
685,Batong Buhay,PH175109001,16642,,,,0
686,Batong Buhay,PH175109001,6919,,,,1
687,Batong Buhay,PH175109001,11086,,,,1
688,Batong Buhay,PH175109001,15227,,,,1
720,Batong Buhay,PH175109001,6177,,,,0
721,Batong Buhay,PH175109001,22624,,,,1
722,Batong Buhay,PH175109001,4797,,,,0
723,Batong Buhay,PH175109001,6361,,,,0
